=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.8663127422332764, avg_neg_score 0.14420287311077118
avg_pos_score 0.8712974786758423, avg_neg_score 0.1563517302274704
avg_pos_score 0.8474577069282532, avg_neg_score 0.1305684894323349
avg_pos_score 0.85917729139328, avg_neg_score 0.11628913134336472
avg_pos_score 0.8959550261497498, avg_neg_score 0.12724082171916962
avg_pos_score 0.9012821912765503, avg_neg_score 0.12362705916166306
avg_pos_score 0.884300708770752, avg_neg_score 0.10181751102209091
avg_pos_score 0.8894935846328735, avg_neg_score 0.10168295353651047
avg_pos_score 0.9078629612922668, avg_neg_score 0.11821188777685165
avg_pos_score 0.8851667642593384, avg_neg_score 0.0981622263789177
avg_pos_score 0.8941083550453186, avg_neg_score 0.09466057270765305
avg_pos_score 0.9181768894195557, avg_neg_score 0.10385136306285858
avg_pos_score 0.8997526168823242, avg_neg_score 0.08345545828342438
avg_pos_score 0.9151378273963928, avg_neg_score 0.0902017205953598
avg_pos_score 0.9203934073448181, avg_neg_score 0.09185408055782318
avg_pos_score 0.8992428779602051, avg_neg_score 0.07400304079055786
avg_pos_score 0.9327304363250732, avg_neg_score 0.09568658471107483
avg_pos_score 0.9013559818267822, avg_neg_score 0.0659003034234047
avg_pos_score 0.9396134614944458, avg_neg_score 0.08856645226478577
avg_pos_score 0.9141733646392822, avg_neg_score 0.06691662967205048
avg_pos_score 0.9333668351173401, avg_neg_score 0.08009549975395203
avg_pos_score 0.9215707182884216, avg_neg_score 0.07107650488615036
avg_pos_score 0.9332417249679565, avg_neg_score 0.0772862657904625
avg_pos_score 0.920422375202179, avg_neg_score 0.06349524110555649
avg_pos_score 0.9469237327575684, avg_neg_score 0.07964250445365906
avg_pos_score 0.8903929591178894, avg_neg_score 0.04391350597143173
avg_pos_score 0.9674781560897827, avg_neg_score 0.09946063905954361
avg_pos_score 0.927891194820404, avg_neg_score 0.05512302741408348
avg_pos_score 0.9237754344940186, avg_neg_score 0.05286462604999542
avg_pos_score 0.9710690975189209, avg_neg_score 0.10231888294219971
avg_pos_score 0.9178175330162048, avg_neg_score 0.049366507679224014
avg_pos_score 0.950641393661499, avg_neg_score 0.06556395441293716
avg_pos_score 0.9363918900489807, avg_neg_score 0.05394042655825615
avg_pos_score 0.9527086019515991, avg_neg_score 0.0648958757519722
avg_pos_score 0.9170687794685364, avg_neg_score 0.04200531169772148
avg_pos_score 0.9815933704376221, avg_neg_score 0.10352327674627304
avg_pos_score 0.9610123634338379, avg_neg_score 0.06540719419717789
avg_pos_score 0.8044506311416626, avg_neg_score 0.017037836834788322
avg_pos_score 0.8633077144622803, avg_neg_score 0.021392500028014183
avg_pos_score 0.9747028946876526, avg_neg_score 0.08943426609039307
avg_pos_score 0.9792702198028564, avg_neg_score 0.09154254198074341
avg_pos_score 0.9189603328704834, avg_neg_score 0.03403196483850479
avg_pos_score 0.9284870028495789, avg_neg_score 0.038810186088085175
avg_pos_score 0.9794437885284424, avg_neg_score 0.09438442438840866
avg_pos_score 0.9633326530456543, avg_neg_score 0.07521936297416687
avg_pos_score 0.8245578408241272, avg_neg_score 0.0206268522888422
avg_pos_score 0.8497941493988037, avg_neg_score 0.020616373047232628
avg_pos_score 0.954494059085846, avg_neg_score 0.05641833320260048
avg_pos_score 0.9799886345863342, avg_neg_score 0.08884226530790329
avg_pos_score 0.9616959095001221, avg_neg_score 0.06583970785140991
avg_pos_score 0.8942914605140686, avg_neg_score 0.028295546770095825
avg_pos_score 0.9051828384399414, avg_neg_score 0.033587269484996796
avg_pos_score 0.9743829369544983, avg_neg_score 0.08525671809911728
avg_pos_score 0.976107120513916, avg_neg_score 0.08001252263784409
avg_pos_score 0.9293678402900696, avg_neg_score 0.03897929936647415
avg_pos_score 0.9087265133857727, avg_neg_score 0.032820552587509155
avg_pos_score 0.9602623581886292, avg_neg_score 0.05609086900949478
avg_pos_score 0.9727166891098022, avg_neg_score 0.07363853603601456
